subTopicID	resultID
45.0	45.11
45.0	45.13
45.0	45.14
45.0	45.16
45.0	45.18
45.0	45.2
45.0	45.26
45.0	45.28
45.0	45.31
45.0	45.38
45.0	45.4
45.0	45.43
45.0	45.50
45.0	45.53
45.0	45.59
45.0	45.62
45.0	45.73
45.0	45.74
45.0	45.88
45.0	45.9
45.0	45.94
45.0	45.96
45.1	45.19
45.1	45.22
45.1	45.23
45.1	45.35
45.1	45.45
45.1	45.47
45.1	45.48
45.1	45.51
45.1	45.52
45.1	45.54
45.1	45.56
45.1	45.57
45.1	45.68
45.1	45.76
45.1	45.79
45.1	45.80
45.1	45.89
45.1	45.91
45.1	45.92
45.2	45.1
45.2	45.10
45.3	45.15
45.3	45.25
45.3	45.32
45.3	45.33
45.3	45.34
45.3	45.36
45.3	45.37
45.3	45.39
45.3	45.40
45.3	45.44
45.3	45.49
45.3	45.5
45.3	45.55
45.3	45.58
45.3	45.60
45.3	45.61
45.3	45.64
45.3	45.70
45.3	45.71
45.3	45.78
45.3	45.82
45.3	45.83
45.3	45.86
45.3	45.90
45.3	45.93
45.3	45.98
45.3	45.99
45.4	45.100
45.4	45.12
45.4	45.20
45.4	45.3
45.4	45.66
45.4	45.72
45.4	45.8
45.5	45.17
45.5	45.27
45.5	45.29
45.5	45.30
45.5	45.46
45.5	45.6
45.5	45.67
45.5	45.69
45.5	45.7
45.5	45.84
45.5	45.87
45.6	45.21
45.6	45.24
45.6	45.41
45.6	45.42
45.6	45.63
45.6	45.65
45.6	45.75
45.6	45.77
45.6	45.81
45.6	45.85
45.6	45.95
45.6	45.97
46.0	46.12
46.0	46.19
46.0	46.2
46.0	46.21
46.0	46.22
46.0	46.62
46.0	46.63
46.1	46.10
46.1	46.15
46.1	46.16
46.1	46.20
46.1	46.24
46.1	46.27
46.1	46.29
46.1	46.38
46.1	46.40
46.1	46.45
46.1	46.5
46.1	46.50
46.1	46.53
46.1	46.57
46.1	46.65
46.1	46.70
46.1	46.77
46.1	46.80
46.1	46.82
46.1	46.83
46.1	46.84
46.1	46.85
46.1	46.88
46.1	46.9
46.1	46.90
46.1	46.91
46.1	46.93
46.1	46.94
46.1	46.98
46.2	46.13
46.2	46.18
46.2	46.23
46.2	46.34
46.2	46.35
46.2	46.41
46.2	46.46
46.2	46.48
46.2	46.58
46.2	46.75
46.2	46.78
46.2	46.79
46.2	46.86
46.2	46.87
46.3	46.26
46.3	46.28
46.3	46.43
46.3	46.74
46.3	46.76
46.4	46.11
46.4	46.17
46.4	46.39
46.4	46.56
46.4	46.7
46.5	46.1
46.5	46.100
46.5	46.30
46.5	46.32
46.5	46.33
46.5	46.4
46.5	46.42
46.5	46.44
46.5	46.47
46.5	46.49
46.5	46.51
46.5	46.52
46.5	46.55
46.5	46.59
46.5	46.6
46.5	46.66
46.5	46.68
46.5	46.71
46.5	46.72
46.5	46.81
46.5	46.89
46.5	46.95
46.5	46.96
46.5	46.97
46.5	46.99
46.6	46.14
46.6	46.25
46.6	46.3
46.6	46.31
46.6	46.36
46.6	46.37
46.6	46.54
46.6	46.60
46.6	46.61
46.6	46.64
46.6	46.67
46.6	46.69
46.6	46.73
46.6	46.8
46.6	46.92
47.0	47.10
47.0	47.14
47.0	47.19
47.0	47.24
47.0	47.3
47.0	47.38
47.0	47.48
47.0	47.52
47.0	47.53
47.0	47.54
47.0	47.62
